arc_length,u
0.000000000000000000e+00,1.000001711925466941e+00
1.414213515818119049e-02,1.054906539634869356e+00
2.828427031636238098e-02,1.109811367344272437e+00
4.242640733718872070e-02,1.164716195053676406e+00
5.656854063272476196e-02,1.219621022763079488e+00
7.071068137884140015e-02,1.274525860699303959e+00
8.485281467437744141e-02,1.329430678181885206e+00
9.899494796991348267e-02,1.384335516118110343e+00
1.131370812654495239e-01,1.439240333600690702e+00
1.272792220115661621e-01,1.494145191990557953e+00
1.414213627576828003e-01,1.549050009473141198e+00
1.555634886026382446e-01,1.603954826955720891e+00
1.697056293487548828e-01,1.658859644438304137e+00
1.838477551937103271e-01,1.713764461920885829e+00
1.979898959398269653e-01,1.768669320310752191e+00
2.121320366859436035e-01,1.823574178700620108e+00
2.262741625308990479e-01,1.878478955275916684e+00
2.404163032770156860e-01,1.933383813665783713e+00
2.545584440231323242e-01,1.988288672055650963e+00
2.687005698680877686e-01,2.043193448630946651e+00
2.828427255153656006e-01,2.098098307020813902e+00
2.969848513603210449e-01,2.153003083596110478e+00
3.111269772052764893e-01,2.207907941985977729e+00
3.252691328525543213e-01,2.262812800375844979e+00
3.394112586975097656e-01,2.317717576951141112e+00
3.535533845424652100e-01,2.372622435341009250e+00
3.676955103874206543e-01,2.427527211916304939e+00
3.818376660346984863e-01,2.482432152120741975e+00
3.959797918796539307e-01,2.537336928696038996e+00
4.101219177246093750e-01,2.592241705271336016e+00
4.242640733718872070e-01,2.647146645475773497e+00
4.384061992168426514e-01,2.702051422051069629e+00
4.525483250617980957e-01,2.756956198626366650e+00
4.666905105113983154e-01,2.811861138830804574e+00
4.808326065540313721e-01,2.866765915406100707e+00
4.949747323989868164e-01,2.921670691981397283e+00
5.091168880462646484e-01,2.976575632185835207e+00
5.232590436935424805e-01,3.031480408761131340e+00
5.374011397361755371e-01,3.086385185336427917e+00
5.515432357788085938e-01,3.141289961911724937e+00
5.656854510307312012e-01,3.196194902116162417e+00
5.798275470733642578e-01,3.251099678691458994e+00
5.939697027206420898e-01,3.306004455266756015e+00
6.081118583679199219e-01,3.360909395471193051e+00
6.222539544105529785e-01,3.415814172046489627e+00
6.363961100578308105e-01,3.470718948621786204e+00
6.505382657051086426e-01,3.525623888826224128e+00
6.646803617477416992e-01,3.580528665401520261e+00
6.788225173950195312e-01,3.635433441976817281e+00
6.929646730422973633e-01,3.690338382181254318e+00
7.071067690849304199e-01,3.745243158756551338e+00
7.212488651275634766e-01,3.800147935331847915e+00
7.353910207748413086e-01,3.855052711907144047e+00
7.495331764221191406e-01,3.909957488482441068e+00
7.636753320693969727e-01,3.964862592316019896e+00
7.778174877166748047e-01,4.019767368891316472e+00
7.919595837593078613e-01,4.074672145466612605e+00
8.061017394065856934e-01,4.129576922041908738e+00
8.202438354492187500e-01,4.184481698617205758e+00
8.343859910964965820e-01,4.239386475192501891e+00
8.485281467437744141e-01,4.294291579026080719e+00
8.626703023910522461e-01,4.349196355601377739e+00
8.768123984336853027e-01,4.404101132176674760e+00
8.909545540809631348e-01,4.459005908751970892e+00
9.050966501235961914e-01,4.513910685327267913e+00
9.192387461662292480e-01,4.568815461902563158e+00
9.333810210227966309e-01,4.623720565736142873e+00
9.475231170654296875e-01,4.678625342311439894e+00
9.616652131080627441e-01,4.733530118886736915e+00
9.758073687553405762e-01,4.788434895462033047e+00
9.899494647979736328e-01,4.843339672037329180e+00
1.004091620445251465e+00,4.898244448612625312e+00
1.018233776092529297e+00,4.953149552446203252e+00
1.032375931739807129e+00,5.008054329021501161e+00
1.046518087387084961e+00,5.062959105596797293e+00
1.060660123825073242e+00,5.117863882172093426e+00
1.074802279472351074e+00,5.172768658747390447e+00
1.088944435119628906e+00,5.227673435322686579e+00
1.103086471557617188e+00,5.282578211897983600e+00
1.117228746414184570e+00,5.337483315731563316e+00
1.131370902061462402e+00,5.392388092306859448e+00
1.145512938499450684e+00,5.447292868882156469e+00
1.159655094146728516e+00,5.502197645457452602e+00
1.173797249794006348e+00,5.557102422032747846e+00
1.187939405441284180e+00,5.612007198608044867e+00
1.202081561088562012e+00,5.666912302441623694e+00
1.216223716735839844e+00,5.721817079016919827e+00
1.230365753173828125e+00,5.776721855592216848e+00
1.244507908821105957e+00,5.831626632167512980e+00
1.258650064468383789e+00,5.886531408742810001e+00
1.272792220115661621e+00,5.941436185318107022e+00
1.286934375762939453e+00,5.996341289151686738e+00
1.301076531410217285e+00,6.051246065726982870e+00
1.315218567848205566e+00,6.106150842302279003e+00
1.329360723495483398e+00,6.161055618877575135e+00
1.343502879142761230e+00,6.215960395452871268e+00
1.357645034790039062e+00,6.270865172028167400e+00
1.371787190437316895e+00,6.325770275861747116e+00
1.385929346084594727e+00,6.380675052437045025e+00
1.400071501731872559e+00,6.435579829012341158e+00
1.414213538169860840e+00,6.490484605587636402e+00
